date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:19:30	24768/24768	---M--	200	added ('OK')	font/woff2	etag:%22234c13948701caa211980acce8c12229%22	https://onecdn.io/font-storage/gabarito/gabarito-600.woff2	C:/My%20Web%20Sites/test/onecdn.io/font-storage/gabarito/gabarito-600.woff2	(from https://onecdn.io/font-storage/gabarito/gabarito.css)
17:19:30	31252/31252	---M--	200	added ('OK')	font/woff	etag:%22ebd7bea8188f395766868403add55149%22	https://onecdn.io/font-storage/gabarito/gabarito-600.woff	C:/My%20Web%20Sites/test/onecdn.io/font-storage/gabarito/gabarito-600.woff	(from https://onecdn.io/font-storage/gabarito/gabarito.css)
17:19:30	67436/67436	---MCZ	200	added ('OK')	font/ttf	etag:W/%2236445166099880eed29fe99c649952ed%22	https://onecdn.io/font-storage/gabarito/gabarito-600.ttf	C:/My%20Web%20Sites/test/onecdn.io/font-storage/gabarito/gabarito-600.ttf	(from https://onecdn.io/font-storage/gabarito/gabarito.css)
17:19:30	53984/53984	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220624d3e674d90e895b59b67629d9e775%22	https://onecdn.io/font-storage/gabarito/gabarito-600.svg	C:/My%20Web%20Sites/test/onecdn.io/font-storage/gabarito/gabarito-600.svg	(from https://onecdn.io/font-storage/gabarito/gabarito.css)
17:19:30	24732/24732	---M--	200	added ('OK')	font/woff2	etag:%2294bf1e0758246e18f26fe78a9b64c9c9%22	https://onecdn.io/font-storage/gabarito/gabarito-700.woff2	C:/My%20Web%20Sites/test/onecdn.io/font-storage/gabarito/gabarito-700.woff2	(from https://onecdn.io/font-storage/gabarito/gabarito.css)
17:19:31	31192/31192	---M--	200	added ('OK')	font/woff	etag:%223586edcc24e1fb0722344cf8dcfe7e52%22	https://onecdn.io/font-storage/gabarito/gabarito-700.woff	C:/My%20Web%20Sites/test/onecdn.io/font-storage/gabarito/gabarito-700.woff	(from https://onecdn.io/font-storage/gabarito/gabarito.css)
17:19:31	67320/67320	---MCZ	200	added ('OK')	font/ttf	etag:W/%2200310b1045a8525ba63d7b41c3aaf89b%22	https://onecdn.io/font-storage/gabarito/gabarito-700.ttf	C:/My%20Web%20Sites/test/onecdn.io/font-storage/gabarito/gabarito-700.ttf	(from https://onecdn.io/font-storage/gabarito/gabarito.css)
17:19:31	53861/53861	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22aae5c9cb363d030ffc75d23b7a179b90%22	https://onecdn.io/font-storage/gabarito/gabarito-700.svg	C:/My%20Web%20Sites/test/onecdn.io/font-storage/gabarito/gabarito-700.svg	(from https://onecdn.io/font-storage/gabarito/gabarito.css)
17:19:31	24704/24704	---M--	200	added ('OK')	font/woff2	etag:%22678e82d6ed05d2b2d364f1bba98e85e8%22	https://onecdn.io/font-storage/gabarito/gabarito-800.woff2	C:/My%20Web%20Sites/test/onecdn.io/font-storage/gabarito/gabarito-800.woff2	(from https://onecdn.io/font-storage/gabarito/gabarito.css)
17:19:32	31280/31280	---M--	200	added ('OK')	font/woff	etag:%220d8d1da226bd0ba888d0e8055a814c95%22	https://onecdn.io/font-storage/gabarito/gabarito-800.woff	C:/My%20Web%20Sites/test/onecdn.io/font-storage/gabarito/gabarito-800.woff	(from https://onecdn.io/font-storage/gabarito/gabarito.css)
17:19:32	67420/67420	---MCZ	200	added ('OK')	font/ttf	etag:W/%229b2cb7464a3c01239ce72f7a1af1c484%22	https://onecdn.io/font-storage/gabarito/gabarito-800.ttf	C:/My%20Web%20Sites/test/onecdn.io/font-storage/gabarito/gabarito-800.ttf	(from https://onecdn.io/font-storage/gabarito/gabarito.css)
17:19:32	53924/53924	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2221717782f83c9380ccac7a23ee26b40c%22	https://onecdn.io/font-storage/gabarito/gabarito-800.svg	C:/My%20Web%20Sites/test/onecdn.io/font-storage/gabarito/gabarito-800.svg	(from https://onecdn.io/font-storage/gabarito/gabarito.css)
17:19:32	21688/21688	---M--	200	added ('OK')	font/woff2	etag:%2207f81d9e36bc46f32673932609259a80%22	https://onecdn.io/font-storage/gabarito/gabarito-900.woff2	C:/My%20Web%20Sites/test/onecdn.io/font-storage/gabarito/gabarito-900.woff2	(from https://onecdn.io/font-storage/gabarito/gabarito.css)
17:19:32	26804/26804	---M--	200	added ('OK')	font/woff	etag:%226b2f33201f8ff3514c0e5e281418fbdf%22	https://onecdn.io/font-storage/gabarito/gabarito-900.woff	C:/My%20Web%20Sites/test/onecdn.io/font-storage/gabarito/gabarito-900.woff	(from https://onecdn.io/font-storage/gabarito/gabarito.css)
17:19:33	67212/67212	---MCZ	200	added ('OK')	font/ttf	etag:W/%2247addcae9f08b242b082bfe8d9261323%22	https://onecdn.io/font-storage/gabarito/gabarito-900.ttf	C:/My%20Web%20Sites/test/onecdn.io/font-storage/gabarito/gabarito-900.ttf	(from https://onecdn.io/font-storage/gabarito/gabarito.css)
17:19:33	53921/53921	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2237a63ca4f82d97d8299a94ae10d15f8b%22	https://onecdn.io/font-storage/gabarito/gabarito-900.svg	C:/My%20Web%20Sites/test/onecdn.io/font-storage/gabarito/gabarito-900.svg	(from https://onecdn.io/font-storage/gabarito/gabarito.css)
17:19:33	23612/23612	---M--	200	added ('OK')	font/woff2	etag:%22b0b0c1e0841f3cc97dadd217c7a53a9d%22	https://onecdn.io/font-storage/onest/onest-100.woff2	C:/My%20Web%20Sites/test/onecdn.io/font-storage/onest/onest-100.woff2	(from https://onecdn.io/font-storage/onest/onest.css)
17:19:33	29380/29380	---M--	200	added ('OK')	font/woff	etag:%22fa3607c831f64aa8ebd50c780db7c8a3%22	https://onecdn.io/font-storage/onest/onest-100.woff	C:/My%20Web%20Sites/test/onecdn.io/font-storage/onest/onest-100.woff	(from https://onecdn.io/font-storage/onest/onest.css)
17:19:33	58900/58900	---MCZ	200	added ('OK')	font/ttf	etag:W/%228ed0065b3b66863a8a805f02f9283a53%22	https://onecdn.io/font-storage/onest/onest-100.ttf	C:/My%20Web%20Sites/test/onecdn.io/font-storage/onest/onest-100.ttf	(from https://onecdn.io/font-storage/onest/onest.css)
17:19:34	55701/55701	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22dd01e60c18be2cd042f8ca236c859696%22	https://onecdn.io/font-storage/onest/onest-100.svg	C:/My%20Web%20Sites/test/onecdn.io/font-storage/onest/onest-100.svg	(from https://onecdn.io/font-storage/onest/onest.css)
17:19:34	24512/24512	---M--	200	added ('OK')	font/woff2	etag:%2264e77020d7306e7ea38d02150ee49bdb%22	https://onecdn.io/font-storage/onest/onest-200.woff2	C:/My%20Web%20Sites/test/onecdn.io/font-storage/onest/onest-200.woff2	(from https://onecdn.io/font-storage/onest/onest.css)
17:19:34	30432/30432	---M--	200	added ('OK')	font/woff	etag:%2216231824fd3c40c8f5d0eb9488660b58%22	https://onecdn.io/font-storage/onest/onest-200.woff	C:/My%20Web%20Sites/test/onecdn.io/font-storage/onest/onest-200.woff	(from https://onecdn.io/font-storage/onest/onest.css)
17:19:34	58964/58964	---MCZ	200	added ('OK')	font/ttf	etag:W/%22d5f822d6486f29943baf68b4f665cfe1%22	https://onecdn.io/font-storage/onest/onest-200.ttf	C:/My%20Web%20Sites/test/onecdn.io/font-storage/onest/onest-200.ttf	(from https://onecdn.io/font-storage/onest/onest.css)
17:19:35	55855/55855	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228c4958b57beacbee38790dc08d7421d5%22	https://onecdn.io/font-storage/onest/onest-200.svg	C:/My%20Web%20Sites/test/onecdn.io/font-storage/onest/onest-200.svg	(from https://onecdn.io/font-storage/onest/onest.css)
17:19:35	24452/24452	---M--	200	added ('OK')	font/woff2	etag:%22c9516832cd8fc2d7234ce03ddb4e63b6%22	https://onecdn.io/font-storage/onest/onest-300.woff2	C:/My%20Web%20Sites/test/onecdn.io/font-storage/onest/onest-300.woff2	(from https://onecdn.io/font-storage/onest/onest.css)
17:19:35	30468/30468	---M--	200	added ('OK')	font/woff	etag:%22b7812342d1a3336bbaed418196a83972%22	https://onecdn.io/font-storage/onest/onest-300.woff	C:/My%20Web%20Sites/test/onecdn.io/font-storage/onest/onest-300.woff	(from https://onecdn.io/font-storage/onest/onest.css)
17:19:35	58908/58908	---MCZ	200	added ('OK')	font/ttf	etag:W/%22f805ebafa41572cc39820c6c6b9ff02a%22	https://onecdn.io/font-storage/onest/onest-300.ttf	C:/My%20Web%20Sites/test/onecdn.io/font-storage/onest/onest-300.ttf	(from https://onecdn.io/font-storage/onest/onest.css)
17:19:35	55866/55866	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227077847c1484fe2ac8c65a70c9d02085%22	https://onecdn.io/font-storage/onest/onest-300.svg	C:/My%20Web%20Sites/test/onecdn.io/font-storage/onest/onest-300.svg	(from https://onecdn.io/font-storage/onest/onest.css)
17:19:36	23828/23828	---M--	200	added ('OK')	font/woff2	etag:%22acc02b2a6ab561dceae1708b3a0ce678%22	https://onecdn.io/font-storage/onest/onest-regular.woff2	C:/My%20Web%20Sites/test/onecdn.io/font-storage/onest/onest-regular.woff2	(from https://onecdn.io/font-storage/onest/onest.css)
17:19:36	29788/29788	---M--	200	added ('OK')	font/woff	etag:%22e96f20bff7142b694cb013d08e868dbd%22	https://onecdn.io/font-storage/onest/onest-regular.woff	C:/My%20Web%20Sites/test/onecdn.io/font-storage/onest/onest-regular.woff	(from https://onecdn.io/font-storage/onest/onest.css)
17:19:36	58796/58796	---MCZ	200	added ('OK')	font/ttf	etag:W/%221b6d18f48baf6c2326c8318cd8a4a9fd%22	https://onecdn.io/font-storage/onest/onest-regular.ttf	C:/My%20Web%20Sites/test/onecdn.io/font-storage/onest/onest-regular.ttf	(from https://onecdn.io/font-storage/onest/onest.css)
17:19:36	55916/55916	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d8be29cecbf69b6212f11b1fde457068%22	https://onecdn.io/font-storage/onest/onest-regular.svg	C:/My%20Web%20Sites/test/onecdn.io/font-storage/onest/onest-regular.svg	(from https://onecdn.io/font-storage/onest/onest.css)
